RIC,Trade Date,Open,High,Low,Last,Volume,Open Interest,Settlement Price,Universal Close Price,Expiration Date
CMCUc1,13-10-2011,7328.9,7328.9,7328.5,7328.9,13,,,7294.3,
CMCUc1,14-10-2011,7500.5,7501,7500.5,7501,29,,,7533,
CMCUc1,17-10-2011,,,,,,,,7533,
CMCUc1,18-10-2011,7498,7498,7277.5,7278.4,65,,,7443,
CMCUc1,19-10-2011,7371.3,7371.3,7312.9,7339,43,,,7204.5,
CMCUc1,20-10-2011,6957,6995,6729,6798,342,,,6729,
CMCUc1,21-10-2011,6820,7120,6820,7120,340,,,7143.5,
CMCUc1,24-10-2011,7423.5,7640,7350,7605,304,,,7636.5,
CMCUc1,25-10-2011,7727,7750,7515,7515,695,,,7530,
CMCUc1,26-10-2011,7600,7905,7600,7715,745,,,7682,
CMCUc1,27-10-2011,7843.5,8167.7,7843.5,8167,1048,,,8149,
CMCUc1,28-10-2011,8060,8174.5,7986.1,8174.5,1217,,,8174.5,
CMCUc1,31-10-2011,8001,8030,7904.5,8030,1224,,,7986,
CMCUc1,01-11-2011,7795.6,7795.6,7662.8,7719.5,234,,,7719.5,
CMCUc1,02-11-2011,7877.9,7916.9,7800,7874.5,66,,,7874.5,
CMCUc1,03-11-2011,7779.5,7905.8,7779.5,7905.8,23,,,7905.8,
CMCUc1,04-11-2011,7963.9,7963.9,7923.9,7934.1,39,,,7856.3,
CMCUc1,07-11-2011,7779.1,7779.1,7779.1,7779.1,12,,,7810,
CMCUc1,08-11-2011,7874.9,7874.9,7824.1,7824.4,277,,,7786,
CMCUc1,09-11-2011,7673,7673,7672.5,7672.9,16,,,7609,
CMCUc1,10-11-2011,7456.8,7456.8,7456.6,7456.6,12,,,7458.3,
CMCUc1,11-11-2011,7508.3,7508.3,7447.9,7451.1,127,,,7621,
CMCUc1,14-11-2011,,,,,,,,7621,
CMCUc1,15-11-2011,7859,7859,7646.4,7677,2379,,,7677,
CMCUc1,16-11-2011,7675,7723.4,7605.9,7723.3,1072,,,7723.3,
CMCUc1,17-11-2011,7640,7640,7514.4,7530.6,685,,,7530.8,
CMCUc1,18-11-2011,7520,7599,7513.6,7525,616,,,7513.8,
CMCUc1,21-11-2011,7395,7395,7254,7301,864,,,7297,
CMCUc1,22-11-2011,7410,7430,7315.9,7315.9,373,,,7316,
CMCUc1,23-11-2011,7281,7281,7188.9,7250,318,,,7226,
CMCUc1,24-11-2011,7274,7290,7251.4,7251.5,113,,,7251.5,
CMCUc1,25-11-2011,7140,7266.8,7140,7217.3,165,,,7217.3,
CMCUc1,28-11-2011,7450,7482,7391.5,7481.9,906,,,7482,
CMCUc1,29-11-2011,7375,7505,7375,7463,914,,,7475.3,
CMCUc1,30-11-2011,7400,7940,7277,7865,969,,,7869.8,
CMCUc1,01-12-2011,7770,7825,7750,7760,907,,,7772,
CMCUc1,02-12-2011,7862.4,7950.1,7820,7865,1424,,,7871.3,
CMCUc1,05-12-2011,7845,7961.1,7845,7922.1,570,,,7922,
CMCUc1,06-12-2011,7781,7855,7760,7816.3,1325,,,7816.3,
CMCUc1,07-12-2011,7910.1,7910.1,7737,7737,73,,,7799.5,
CMCUc1,08-12-2011,7817.9,7817.9,7690.1,7690.1,71,,,7690.3,
CMCUc1,09-12-2011,7716,7804.6,7716,7796.1,49,,,7796.3,
CMCUc1,12-12-2011,7614.9,7632.9,7576.9,7576.9,36,,,7585.3,
CMCUc1,13-12-2011,7589.4,7659,7579.6,7579.6,97,,,7579.8,
CMCUc1,14-12-2011,7404.9,7404.9,7200,7200.1,36,,,7189.5,
CMCUc1,15-12-2011,7404.9,7404.9,7192.9,7192.9,219,,,7193,
CMCUc1,16-12-2011,7340.1,7357.9,7340.1,7357.9,25,,,7329.3,
CMCUc1,19-12-2011,,,,,,,,7329.3,
CMCUc1,20-12-2011,7355,7404.8,7284.6,7404.8,232,,,7405,
CMCUc1,21-12-2011,7401,7549,7401,7451.5,336,,,7451.5,
CMCUc1,22-12-2011,7535,7541.6,7500,7541.6,760,,,7541.5,
CMCUc1,23-12-2011,7615,7618.3,7600.6,7601.9,312,,,7643.5,
CMCUc1,28-12-2011,7615,7618.3,7459.9,7460,585,,,7460,
CMCUc1,29-12-2011,7375.9,7445,7375.9,7443,495,,,7418.8,
CMCUc1,30-12-2011,7509,7595,7509,7595,417,,,7595,
CMCUc1,01-01-2012,,,,,,,,,
CMCUc1,03-01-2012,7656,7782.3,7642,7782.3,100,,,7782.3,
CMCUc1,04-01-2012,7715.1,7715.1,7530.8,7530.8,104,,,7531.3,
CMCUc1,05-01-2012,7619,7619,7471.3,7515,104,,,7529,
CMCUc1,06-01-2012,7575,7575,7512.9,7512.9,73,,,7568.8,
CMCUc1,09-01-2012,7540,7540,7501.6,7529,87,,,7487,
CMCUc1,10-01-2012,7640.5,7640.5,7640.5,7640.5,3,,,7733.3,
CMCUc1,11-01-2012,7795,7795,7689.9,7690,62,,,7768.5,
CMCUc1,12-01-2012,7947.1,8045,7946.3,8045,134,,,7995.8,
CMCUc1,13-01-2012,7965.8,7991.4,7932.9,7932.9,27,,,7991.3,
CMCUc1,16-01-2012,,,,,,,,7991.3,
CMCUc1,17-01-2012,8150.2,8240,8150.2,8175,169,,,8195,
CMCUc1,18-01-2012,8142,8234.799999999999,8142,8234.799999999999,102,,,8234.799999999999,
CMCUc1,19-01-2012,8300.200000000001,8363.299999999999,8300.200000000001,8363.299999999999,106,,,8363.299999999999,
CMCUc1,20-01-2012,8301.799999999999,8309.799999999999,8228,8238,162,,,8216,
CMCUc1,23-01-2012,8281,8362,8281,8324,234,,,8362,
CMCUc1,24-01-2012,8350,8352.4,8274.6,8352.4,283,,,8352.5,
CMCUc1,25-01-2012,8381.799999999999,8381.799999999999,8279.5,8380,69,,,8380,
CMCUc1,26-01-2012,8502,8586,8502,8565,120,,,8585.5,
CMCUc1,27-01-2012,8502,8640,8502,8565,273,,,8519.299999999999,
CMCUc1,30-01-2012,8373,8429,8373,8419,507,,,8420.799999999999,
CMCUc1,31-01-2012,8508,8512,8306.799999999999,8306.799999999999,235,,,8307,
CMCUc1,01-02-2012,8359.200000000001,8394.799999999999,8349.799999999999,8394.799999999999,76,,,8425.799999999999,
CMCUc1,02-02-2012,8347.799999999999,8399,8344,8399,57,,,8327.799999999999,
CMCUc1,03-02-2012,8331,8333.799999999999,8322.299999999999,8333.799999999999,60,,,8544,
CMCUc1,06-02-2012,8459.799999999999,8525,8459.799999999999,8525,64,,,8478.299999999999,
CMCUc1,07-02-2012,8338.5,8338.700000000001,8338.5,8338.700000000001,5,,,8459.799999999999,
CMCUc1,08-02-2012,8588.799999999999,8595,8557.5,8595,69,,,8557.5,
CMCUc1,09-02-2012,8550.799999999999,8599,8521.299999999999,8522.5,86,,,8738.799999999999,
CMCUc1,10-02-2012,8675,8675,8675,8675,40,,,8461.299999999999,
CMCUc1,13-02-2012,,,,,,,,8461.299999999999,
CMCUc1,14-02-2012,8405,8460,8379,8405.5,230,,,8405.5,
CMCUc1,15-02-2012,8475,8475,8349,8349,112,,,8361.5,
CMCUc1,16-02-2012,8254,8325,8210,8325,1032,,,8294,
CMCUc1,17-02-2012,8376,8391,8173.9,8173.9,188,,,8174,
CMCUc1,20-02-2012,8316,8316,8231,8250,611,,,8234.5,
CMCUc1,21-02-2012,8316,8447.799999999999,8231,8447.6,820,,,8447.799999999999,
CMCUc1,22-02-2012,8460,8460,8379,8420.700000000001,344,,,8436.299999999999,
CMCUc1,23-02-2012,8421,8421,8200,8200,226,,,8395.799999999999,
CMCUc1,24-02-2012,8364.5,8549,8356.299999999999,8549,117,,,8549,
CMCUc1,27-02-2012,8475,8552.5,8433,8528,521,,,8552.5,
CMCUc1,28-02-2012,8505,8690,8505,8609,754,,,8605.5,
CMCUc1,29-02-2012,8641,8698,8494.200000000001,8499,172,,,8497,
CMCUc1,01-03-2012,8462.200000000001,8628.200000000001,8462.200000000001,8628.200000000001,270,,,8628,
CMCUc1,02-03-2012,8618,8635,8576.6,8580.1,303,,,8580.299999999999,
CMCUc1,05-03-2012,8530,8530,8491,8503,367,,,8503.5,
CMCUc1,06-03-2012,8530,8530,8255,8300,1165,,,8288.799999999999,
CMCUc1,07-03-2012,8299,8305,8260,8305,101,,,8295.799999999999,
CMCUc1,08-03-2012,8423,8423,8391.1,8393,164,,,8333,
CMCUc1,09-03-2012,8392.299999999999,8392.299999999999,8382,8382,81,,,8503.5,
CMCUc1,12-03-2012,8402.299999999999,8449.799999999999,8402.299999999999,8449.799999999999,127,,,8450,
CMCUc1,13-03-2012,8531.299999999999,8562.799999999999,8496,8562.799999999999,141,,,8563,
